created_at,name,clan,level,percent,battleEXP,kills,classId
2026-08-20T03:00:03.998929+00:00,Hewitt,LegacY,132,4.0482,11656,392,6
2026-08-20T03:00:03.998929+00:00,LiMaO,LegacY,131,22.0667,13826,476,4
2026-08-20T03:00:03.998929+00:00,PaoNaSchapa,LegacY,131,50.0074,7063,249,10
2026-08-20T03:00:03.998929+00:00,Psych0,LegacY,130,70.0367,6509,209,5
2026-08-20T03:00:03.998929+00:00,SafaBosS,LegacY,131,17.9686,1679,61,6
2026-08-20T03:00:03.998929+00:00,Stelar,LegacY,130,87.3579,7334,244,3
2026-08-20T04:00:03.936408+00:00,Hewitt,LegacY,132,4.0858,12017,403,6
2026-08-20T04:00:03.936408+00:00,LiMaO,LegacY,131,22.3278,14576,501,4
2026-08-20T04:00:03.936408+00:00,PaoNaSchapa,LegacY,131,50.2603,7063,249,10
2026-08-20T04:00:03.936408+00:00,Psych0,LegacY,130,70.3459,6509,209,5
2026-08-20T04:00:03.936408+00:00,SafaBosS,LegacY,131,18.2314,1679,61,6
2026-08-20T04:00:03.936408+00:00,Stelar,LegacY,130,87.6668,7334,244,3
2026-08-20T05:00:04.980548+00:00,Hewitt,LegacY,132,4.369,12017,403,6
2026-08-20T05:00:04.980548+00:00,LiMaO,LegacY,131,22.3568,15349,529,4
2026-08-20T05:00:04.980548+00:00,PaoNaSchapa,LegacY,131,50.605,7132,253,10
2026-08-20T05:00:04.980548+00:00,Psych0,LegacY,130,70.7535,6509,209,5
2026-08-20T05:00:04.980548+00:00,SafaBosS,LegacY,131,18.5765,1679,61,6
2026-08-20T05:00:04.980548+00:00,Stelar,LegacY,130,88.0752,7334,244,3
2026-08-20T06:00:04.977592+00:00,Hewitt,LegacY,132,4.4193,12017,403,6
2026-08-20T06:00:04.977592+00:00,LiMaO,LegacY,131,22.7164,15349,529,4
2026-08-20T06:00:04.977592+00:00,PaoNaSchapa,LegacY,131,50.6558,7132,253,10
2026-08-20T06:00:04.977592+00:00,Psych0,LegacY,130,70.8148,6509,209,5
2026-08-20T06:00:04.977592+00:00,SafaBosS,LegacY,131,18.632,1679,61,6
2026-08-20T06:00:04.977592+00:00,Stelar,LegacY,130,88.1246,7334,244,3
2026-08-20T07:00:04.830046+00:00,Hewitt,LegacY,132,4.4615,12017,403,6
2026-08-20T07:00:04.830046+00:00,LiMaO,LegacY,131,22.7673,15349,529,4
2026-08-20T07:00:04.830046+00:00,PaoNaSchapa,LegacY,131,50.6964,7132,253,10
2026-08-20T07:00:04.830046+00:00,Psych0,LegacY,130,70.858,6509,209,5
2026-08-20T07:00:04.830046+00:00,SafaBosS,LegacY,131,18.6769,1679,61,6
2026-08-20T07:00:04.830046+00:00,Stelar,LegacY,130,88.1839,7334,244,3
2026-08-20T08:00:04.757728+00:00,Hewitt,LegacY,132,4.7519,12017,403,6
2026-08-20T08:00:04.757728+00:00,LiMaO,LegacY,131,23.1072,15349,529,4
2026-08-20T08:00:04.757728+00:00,PaoNaSchapa,LegacY,131,51.0362,7132,253,10
2026-08-20T08:00:04.757728+00:00,Psych0,LegacY,130,71.2712,6509,209,5
2026-08-20T08:00:04.757728+00:00,SafaBosS,LegacY,131,18.6769,1679,61,6
2026-08-20T08:00:04.757728+00:00,Stelar,LegacY,130,88.5911,7334,244,3
2026-08-20T09:00:04.567873+00:00,Hewitt,LegacY,132,4.8016,12017,403,6
2026-08-20T09:00:04.567873+00:00,LiMaO,LegacY,131,23.1612,15349,529,4
2026-08-20T09:00:04.567873+00:00,PaoNaSchapa,LegacY,131,51.0856,7132,253,10
2026-08-20T09:00:04.567873+00:00,Psych0,LegacY,130,71.3253,6509,209,5
2026-08-20T09:00:04.567873+00:00,SafaBosS,LegacY,131,18.6839,1679,61,6
2026-08-20T09:00:04.567873+00:00,Stelar,LegacY,130,88.6387,7334,244,3
2026-08-20T10:00:04.216807+00:00,Hewitt,LegacY,132,5.0362,12017,403,6
2026-08-20T10:00:04.216807+00:00,LiMaO,LegacY,131,23.2296,15349,529,4
2026-08-20T10:00:04.216807+00:00,PaoNaSchapa,LegacY,131,51.1495,7132,253,10
2026-08-20T10:00:04.216807+00:00,Psych0,LegacY,130,71.3972,6509,209,5
2026-08-20T10:00:04.216807+00:00,SafaBosS,LegacY,131,19.0473,1679,61,6
2026-08-20T10:00:04.216807+00:00,Stelar,LegacY,130,88.7159,7334,244,3
2026-08-20T11:00:04.052683+00:00,Hewitt,LegacY,132,5.4928,12017,403,6
2026-08-20T11:00:04.052683+00:00,LiMaO,LegacY,131,23.7784,15349,529,4
2026-08-20T11:00:04.052683+00:00,PaoNaSchapa,LegacY,131,51.683,7132,253,10
2026-08-20T11:00:04.052683+00:00,Psych0,LegacY,130,72.0457,6509,209,5
2026-08-20T11:00:04.052683+00:00,SafaBosS,LegacY,131,19.6035,1679,61,6
2026-08-20T11:00:04.052683+00:00,Stelar,LegacY,130,89.365,7334,244,3
2026-08-20T12:00:04.750693+00:00,Hewitt,LegacY,132,5.7665,12017,403,6
2026-08-20T12:00:04.750693+00:00,LiMaO,LegacY,131,24.0922,15349,529,4
2026-08-20T12:00:04.750693+00:00,PaoNaSchapa,LegacY,131,51.9964,7132,253,10
2026-08-20T12:00:04.750693+00:00,Psych0,LegacY,130,72.4135,6509,209,5
2026-08-20T12:00:04.750693+00:00,SafaBosS,LegacY,131,19.9105,1742,64,6
2026-08-20T12:00:04.750693+00:00,Stelar,LegacY,130,89.7324,7334,244,3
2026-08-20T13:00:03.661953+00:00,Hewitt,LegacY,132,5.9462,12017,403,6
2026-08-20T13:00:03.661953+00:00,LiMaO,LegacY,131,24.3086,15349,529,4
2026-08-20T13:00:03.661953+00:00,PaoNaSchapa,LegacY,131,52.1981,7132,253,10
2026-08-20T13:00:03.661953+00:00,Psych0,LegacY,130,72.6482,6509,209,5
2026-08-20T13:00:03.661953+00:00,SafaBosS,LegacY,131,20.119,1742,64,6
2026-08-20T13:00:03.661953+00:00,Stelar,LegacY,130,89.983,7334,244,3
2026-08-20T14:00:04.361595+00:00,Hewitt,LegacY,132,6.1998,12030,404,6
2026-08-20T14:00:04.361595+00:00,LiMaO,LegacY,131,24.575,15676,541,4
2026-08-20T14:00:04.361595+00:00,PaoNaSchapa,LegacY,131,52.48,7581,272,10
2026-08-20T14:00:04.361595+00:00,Psych0,LegacY,130,72.9856,6568,211,5
2026-08-20T14:00:04.361595+00:00,SafaBosS,LegacY,131,20.3883,1742,64,6
2026-08-20T14:00:04.361595+00:00,Stelar,LegacY,130,90.3132,7334,244,3
2026-08-20T15:00:04.509856+00:00,Hewitt,LegacY,132,6.3768,12079,405,6
2026-08-20T15:00:04.509856+00:00,LiMaO,LegacY,131,24.7864,15676,541,4
2026-08-20T15:00:04.509856+00:00,PaoNaSchapa,LegacY,131,52.6771,7581,272,10
